,1.0,1.001,1.01,1.1,1.4
50,7,7,7,6,4
100,11,11,9,6,5
150,13,13,9,7,5
200,16,14,12,8,5
250,16,16,13,8,5
300,17,17,13,8,5
350,17,17,13,8,5
400,20,18,13,8,5
450,21,18,14,8,5
500,21,21,14,8,5
550,21,21,14,8,5
600,21,21,14,9,5
650,22,22,14,9,6
700,22,22,15,9,6
750,22,22,15,9,6
800,25,22,15,9,6
850,25,23,15,9,6
900,25,23,15,9,6
950,26,23,15,9,6
1000,28,23,15,9,6
1050,28,23,15,9,6
1100,28,23,16,9,6
1150,30,23,16,9,6
1200,30,23,16,9,6
1250,30,24,16,9,6
1300,30,24,16,10,7
1350,30,24,16,10,7
1400,30,24,16,10,7
1450,30,24,16,10,7
1500,30,24,16,10,7
1550,31,24,16,10,7
1600,31,24,16,10,7
1650,31,24,16,10,7
1700,31,24,16,10,7
1750,31,24,17,10,7
1800,31,25,17,10,7
1850,31,25,17,10,7
1900,31,25,19,10,7
1950,32,25,19,10,7
2000,32,25,19,10,7
2050,32,25,19,10,7
2100,32,25,19,10,7
2150,32,25,20,10,7
2200,32,25,20,10,7
2250,32,25,20,10,7
2300,33,25,20,10,7
2350,35,25,20,10,7
2400,36,26,20,10,7
2450,36,29,20,10,7
2500,36,29,20,10,7
2550,36,29,20,10,7
2600,36,29,20,10,7
2650,36,29,20,10,7
2700,36,29,20,10,7
2750,39,29,20,10,7
2800,39,29,20,10,7
2850,40,30,20,10,7
2900,40,30,20,10,7
2950,40,30,20,10,7
3000,40,30,20,10,7
3050,40,30,20,10,7
3100,40,30,20,10,7
3150,40,30,20,10,7
3200,40,30,20,10,7
3250,40,30,20,10,7
3300,40,30,21,10,7
3350,40,30,21,11,7
3400,40,30,21,11,7
3450,40,30,21,11,7
3500,40,30,21,11,7
3550,40,30,21,11,7
3600,40,30,21,11,7
3650,41,31,21,11,7
3700,41,33,21,11,7
3750,41,33,21,11,7
3800,41,33,21,11,7
3850,41,34,21,11,7
3900,41,34,21,11,7
3950,41,34,21,11,7
4000,41,34,21,11,7
4050,41,34,21,11,7
4100,41,34,21,11,7
4150,41,34,21,11,7
4200,41,34,21,11,7
4250,41,34,21,11,7
4300,41,34,21,11,7
4350,41,34,21,11,7
4400,42,34,21,11,7
4450,42,34,21,11,7
4500,42,34,21,11,7
4550,42,34,21,11,7
4600,42,34,21,11,7
4650,42,35,21,11,7
4700,46,35,21,11,7
4750,46,35,21,11,7
4800,46,35,21,11,7
4850,46,35,21,11,7
4900,46,35,21,11,7
4950,46,35,21,11,7
5000,46,35,22,11,7
5050,46,35,22,11,7
5100,46,35,22,11,7
5150,47,35,22,11,7
5200,47,35,22,11,7
5250,47,35,22,11,7
5300,47,35,22,11,7
5350,47,35,22,11,7
5400,47,35,22,11,7
5450,47,35,22,11,7
5500,47,35,22,11,7
5550,47,35,22,11,7
5600,47,35,22,11,7
5650,47,35,22,11,7
5700,47,35,22,11,7
5750,47,35,22,11,7
5800,47,35,22,11,7
5850,47,35,22,11,7
5900,47,35,22,11,7
5950,47,35,22,11,7
6000,47,35,22,11,7
6050,47,35,22,11,7
6100,47,35,22,11,7
6150,47,36,22,11,7
6200,47,36,22,11,7
6250,47,36,22,11,7
6300,47,36,22,11,7
6350,47,36,22,11,7
6400,48,36,22,11,7
6450,48,36,22,11,7
6500,48,36,22,11,7
6550,48,36,22,11,7
6600,48,36,22,11,7
6650,48,36,22,11,7
6700,48,36,23,11,7
6750,48,36,23,11,7
6800,48,36,23,11,7
6850,48,36,23,11,7
6900,48,36,23,11,7
6950,48,36,23,11,7
7000,48,36,23,11,7
7050,48,36,23,11,7
7100,48,36,23,11,7
7150,48,36,23,11,7
7200,48,36,23,11,7
7250,48,36,23,11,7
7300,48,36,23,11,7
7350,48,36,23,11,7
7400,48,36,23,11,7
7450,48,36,23,11,7
7500,48,36,23,11,7
7550,48,36,23,11,7
7600,48,36,23,11,7
7650,48,36,23,11,7
7700,49,38,23,11,7
7750,49,38,23,11,7
7800,49,38,23,11,7
7850,49,38,23,11,7
7900,49,38,23,11,7
7950,49,38,23,11,7
8000,49,38,23,11,7
8050,49,38,23,11,7
8100,49,38,23,11,7
8150,49,38,23,12,7
8200,49,38,23,12,7
8250,49,38,23,12,7
8300,49,38,23,12,7
8350,49,38,23,12,7
8400,49,38,23,12,7
8450,49,38,23,12,7
8500,49,38,23,12,7
8550,49,38,23,12,7
8600,49,38,23,12,7
8650,49,38,23,12,7
8700,49,38,23,12,7
8750,49,38,23,12,7
8800,49,38,23,12,7
8850,49,38,23,12,7
8900,49,38,23,12,7
8950,50,38,23,12,7
9000,51,38,23,12,7
9050,51,38,23,12,7
9100,51,38,23,12,7
9150,51,38,23,12,7
9200,51,38,23,12,7
9250,51,39,23,12,7
9300,51,39,23,12,7
9350,51,39,23,12,7
9400,51,39,23,12,7
9450,51,39,23,12,7
9500,51,39,23,12,7
9550,51,39,23,12,7
9600,51,39,23,12,7
9650,51,39,23,12,7
9700,51,39,23,12,7
9750,51,39,23,12,7
9800,51,43,23,12,7
9850,51,43,23,12,7
9900,51,43,23,12,7
9950,51,43,23,12,7
10000,51,43,23,12,7
