,space,approx
1.1,2,1.9962449000210976
1.2000000000000002,2,1.9962449000210976
1.3,2,1.9962449000210976
1.4,2,1.9962449000210976
1.5,2,1.9962449000210976
1.6,3,1.926507984723469
1.7000000000000002,3,1.7683995707278697
1.8,3,1.6180822544216835
1.9,3,1.474697990410602
2.0,3,1.3808337894393077
3.0,5,1.1239576472446733
4.0,6,1.0598992069125197
5.0,8,1.0296127195637217
6.0,10,1.0194116968975562
7.0,11,1.0134222991386737
8.0,12,1.01067483981269
9.0,16,1.005907045252341
10.0,16,1.005907045252341
11.0,18,1.0040898673081868
12.0,20,1.002682925565192
13.0,21,1.0025751378245669
14.0,23,1.0015870800681974
15.0,25,1.0015616242987315
16.0,26,1.0014715318717131
17.0,26,1.0014715318717131
18.0,29,1.000655814088698
19.0,31,1.0006634941392112
20.0,32,1.0006727787828629
21.0,34,1.0006481836477752
22.0,34,1.0006481836477752
23.0,37,1.0002201985863142
24.0,39,1.0002081126166342
25.0,40,1.0001993673972391
26.0,42,1.0001939148463648
27.0,43,1.0001886173281946
28.0,45,1.000184653293506
29.0,47,1.000183612316622
30.0,48,1.0001800803704466
31.0,50,1.0001788495440156
32.0,51,1.000157029197044
33.0,51,1.000157029197044
34.0,52,1.0000204125062295
35.0,54,0.9998626054852352
36.0,56,0.9997478050234004
37.0,58,0.999801252956876
38.0,60,0.9998424301606884
39.0,62,0.999870349473163
40.0,64,0.9998960554635292
41.0,65,0.999909707357357
42.0,67,0.9999247565203307
43.0,68,0.999934463800855
44.0,70,0.9999450791850536
45.0,72,0.99995532481469
46.0,73,0.9999609849452864
47.0,75,0.9999671286869742
48.0,76,0.9999712911761028
49.0,78,0.9999758284836344
50.0,79,0.9999789040598518
51.0,81,0.9999823179105471
52.0,82,0.999984614584768
53.0,84,0.9999872264645728
54.0,85,0.999988957210963
55.0,87,0.999991281228721
56.0,89,0.9999930198086792
57.0,90,0.9999941159724164
58.0,92,0.9999955130674784
59.0,94,0.9999968834763436
60.0,95,0.999997581975806
61.0,97,0.9999986490867118
62.0,99,0.9999995791074268
63.0,100,0.9999999999999988
64.0,100,0.9999999999999988
65.0,100,0.9999999999999988
66.0,100,0.9999999999999988
67.0,100,0.9999999999999988
68.0,100,0.9999999999999988
69.0,100,0.9999999999999988
70.0,100,0.9999999999999988
71.0,100,0.9999999999999988
72.0,100,0.9999999999999988
73.0,100,0.9999999999999988
74.0,100,0.9999999999999988
75.0,100,0.9999999999999988
76.0,100,0.9999999999999988
77.0,100,0.9999999999999988
78.0,100,0.9999999999999988
79.0,100,0.9999999999999988
80.0,100,0.9999999999999988
81.0,100,0.9999999999999988
82.0,100,0.9999999999999988
83.0,100,0.9999999999999988
84.0,100,0.9999999999999988
85.0,100,0.9999999999999988
86.0,100,0.9999999999999988
87.0,100,0.9999999999999988
88.0,100,0.9999999999999988
89.0,100,0.9999999999999988
90.0,100,0.9999999999999988
91.0,100,0.9999999999999988
92.0,100,0.9999999999999988
93.0,100,0.9999999999999988
94.0,100,0.9999999999999988
95.0,100,0.9999999999999988
96.0,100,0.9999999999999988
97.0,100,0.9999999999999988
98.0,100,0.9999999999999988
99.0,100,0.9999999999999988
