,space,approx
1.1,6.0,6.208296045361847
1.2000000000000002,7.0,3.5387309950993453
1.3,8.0,2.5075716930033454
1.4,9.0,1.979235139756642
1.5,10.0,1.711623195599812
1.6,11.0,1.5164346829590605
1.7000000000000002,11.0,1.3695340028228395
1.8,12.0,1.3014654463773834
1.9,13.0,1.2554598258965284
2.0,13.0,1.212274679579662
3.0,19.0,1.0574551725175771
4.0,26.0,1.026650037415742
5.0,34.0,1.015427449757124
6.0,37.0,1.0086923873408
7.0,48.0,1.0064101912534262
8.0,50.0,1.0046132466665398
9.0,53.0,1.0039397492456756
10.0,58.0,1.0031596255857602
11.0,66.0,1.0025398102131242
12.0,84.0,1.0023977310896035
13.0,86.0,1.0019887609920015
14.0,88.0,1.001647455770504
15.0,90.0,1.0015577596891303
16.0,92.0,1.0013493255371373
17.0,96.0,1.0011700839808753
18.0,98.0,1.00112518323892
19.0,103.0,1.0009809737986983
20.0,,
21.0,,
22.0,,
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
