,space,approx
1.1,2.0,8.570162295449704
1.2000000000000002,2.0,8.570162295449704
1.3,2.0,8.570162295449704
1.4,4.0,5.61057153914778
1.5,4.0,5.422660402844164
1.6,4.0,9.527604577259272
1.7000000000000002,4.0,17.712230279364434
1.8,4.0,18.02330329996501
1.9,4.0,13.6366036678522
2.0,5.0,10.057808450682208
3.0,7.0,1.6058309924919825
4.0,10.0,1.114475766337533
5.0,12.0,1.0300459049113082
6.0,14.0,1.012760203907423
7.0,17.0,1.0066269478748358
8.0,19.0,1.002812089020296
9.0,22.0,1.0008617705533005
10.0,23.0,0.9996567634247376
11.0,26.0,0.9988367096995404
12.0,28.0,0.9990476152569188
13.0,30.0,0.9988631434075692
14.0,33.0,0.9988510855736188
15.0,34.0,0.9988878519680534
16.0,36.0,0.9989412176718728
17.0,38.0,0.9989657128171074
18.0,40.0,0.9988613210106884
19.0,41.0,0.9989778382546748
20.0,43.0,0.9989993453600822
21.0,46.0,0.9990006567452288
22.0,49.0,0.9988554767727816
23.0,51.0,0.9988815560460802
24.0,53.0,0.998927013597698
25.0,55.0,0.9989799198143025
26.0,58.0,0.9989384512718216
27.0,59.0,0.9990320223073564
28.0,62.0,0.9991071897967088
29.0,64.0,0.9992400284322775
30.0,66.0,0.9992158582867798
31.0,67.0,0.9992344256865772
32.0,69.0,0.9992415635553786
33.0,71.0,0.9992679865201568
34.0,73.0,0.9992787908168062
35.0,74.0,0.9992719945033222
36.0,76.0,0.9992817843386982
37.0,77.0,0.9993231689038896
38.0,80.0,0.9993360456367728
39.0,81.0,0.9993475089637784
40.0,83.0,0.9993640774145188
41.0,84.0,0.9993966868771382
42.0,86.0,0.9994102509044646
43.0,88.0,0.9994206222858948
44.0,89.0,0.9994366398920062
45.0,90.0,0.9994633462980014
46.0,93.0,0.9994743720943774
47.0,94.0,0.9994858192905084
48.0,95.0,0.9995036760126124
49.0,97.0,0.9995225203614764
50.0,99.0,0.9995333256370604
51.0,100.0,0.9995464310556936
52.0,102.0,0.9995604469011116
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
