,space,approx
1.1,2.0,14.141751424946014
1.2000000000000002,4.0,8.06681294173859
1.3,4.0,13.085702483940215
1.4,4.0,44.02702339090467
1.5,4.0,22.242077497611756
1.6,5.0,8.772873469481292
1.7000000000000002,6.0,4.243954865485895
1.8,6.0,2.6204492771163634
1.9,6.0,2.572037591078425
2.0,7.0,1.8348465767518736
3.0,9.0,1.0911345151476295
4.0,13.0,1.0268524612830676
5.0,15.0,1.0108503601051857
6.0,18.0,1.0055510434461987
7.0,20.0,1.0006838524205153
8.0,23.0,1.0009927306555608
9.0,26.0,0.999453269119193
10.0,28.0,0.998973926555485
11.0,28.0,0.9990528423461644
12.0,31.0,0.998830159308044
13.0,34.0,0.9991612875849226
14.0,36.0,0.998974598586486
15.0,36.0,0.9990352716064048
16.0,39.0,0.9989271562279254
17.0,41.0,0.9989644746973648
18.0,43.0,0.9989694407702708
19.0,43.0,0.999016328155718
20.0,46.0,0.9989686378416308
21.0,48.0,0.9990028203168606
22.0,50.0,0.9990091657701248
23.0,50.0,0.9990499204343076
24.0,53.0,0.9990504706700348
25.0,55.0,0.9991104044454314
26.0,57.0,0.9991440296416836
27.0,57.0,0.9992014263380355
28.0,60.0,0.9992311082709744
29.0,62.0,0.9993305603462448
30.0,64.0,0.999322093892822
31.0,64.0,0.999331334815336
32.0,66.0,0.9993261194442646
33.0,68.0,0.9993574279495528
34.0,70.0,0.9993677915828832
35.0,70.0,0.9993886961107156
36.0,72.0,0.9993887430655436
37.0,74.0,0.999413006577374
38.0,76.0,0.9994216851585848
39.0,76.0,0.9994388987787852
40.0,78.0,0.9994397666489307
41.0,80.0,0.9994596483309628
42.0,82.0,0.9994672858110524
43.0,82.0,0.9994818957028702
44.0,84.0,0.9994843480086092
45.0,86.0,0.999500599717496
46.0,88.0,0.9995075585652228
47.0,88.0,0.999520469381972
48.0,90.0,0.9995238668888108
49.0,92.0,0.9995381396884292
50.0,94.0,0.9995448121276213
51.0,94.0,0.9995566168198152
52.0,96.0,0.9995613596321468
53.0,98.0,0.99957413377629
54.0,100.0,0.9995809050473584
55.0,100.0,0.9995925372699012
56.0,102.0,0.999599287075056
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
