,space,approx
1.1,5.0,10.646008197481375
1.2000000000000002,6.0,5.912067471226119
1.3,7.0,4.0276905757446135
1.4,8.0,3.0529873659076188
1.5,8.0,2.487288171446939
1.6,8.0,2.1345856974309614
1.7000000000000002,9.0,1.8842743295718336
1.8,10.0,1.7187496977743044
1.9,10.0,1.5857471316146257
2.0,10.0,1.4976865224276248
3.0,15.0,1.1451805207981205
4.0,20.0,1.0690919728443244
5.0,24.0,1.0387818897891912
6.0,29.0,1.0245421766957394
7.0,34.0,1.0171002294174625
8.0,37.0,1.013820640202655
9.0,45.0,1.0083003662282866
10.0,47.0,1.0082323270018774
11.0,53.0,1.0062176694524902
12.0,60.0,1.0041328071077436
13.0,62.0,1.0040908992895947
14.0,73.0,1.002881049201418
15.0,75.0,1.0028497449139284
16.0,76.0,1.0028261356629884
17.0,79.0,1.0028140083090529
18.0,95.0,1.0014164330435178
19.0,97.0,1.0013755067715358
20.0,98.0,1.0013522537975974
21.0,100.0,1.0013346306879294
22.0,102.0,1.001322994106879
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
