,space,approx
1.1,2,2.095193203821526
1.2000000000000002,3,2.1266618011771574
1.3,4,1.6808531624990328
1.4,4,1.4588451608897668
1.5,4,1.357040046369978
1.6,4,1.289315188389504
1.7000000000000002,5,1.2416890824072009
1.8,5,1.2022049198846765
1.9,6,1.1629012748218803
2.0,6,1.1396207582344222
3.0,8,1.0400497589218838
4.0,11,1.0196256582537042
5.0,14,1.0119157417112663
6.0,16,1.006839607539888
7.0,18,1.0045135063426107
8.0,21,1.0033085381458848
9.0,22,1.002980559689299
10.0,24,1.0022805059106843
11.0,25,1.0017484070281335
12.0,26,1.0016670102319578
13.0,28,1.0012802864222698
14.0,30,1.000980418762715
15.0,33,1.0009159678234598
16.0,34,1.000690074969428
17.0,38,1.0005189549253557
18.0,38,1.0004748017667793
19.0,39,1.0003362728632614
20.0,40,1.0002781062975372
21.0,41,1.0002344575996438
22.0,42,1.000254899978145
23.0,44,1.0002173536737768
24.0,45,1.000185313056661
25.0,47,1.0001601127682156
26.0,48,1.0001339433067
27.0,50,1.0001127061245467
28.0,51,1.00009327617097
29.0,53,1.000077283789656
30.0,55,1.0000623214743856
31.0,57,1.0000491316668356
32.0,59,1.0000368517507607
33.0,62,1.0000274457617448
34.0,63,1.000014041454753
35.0,64,1.0000009926309157
36.0,64,0.9999881798380802
37.0,65,0.9999663885713396
38.0,66,0.9999570693371388
39.0,66,0.9999478338985494
40.0,67,0.9999318907732312
41.0,68,0.999924980606382
42.0,68,0.9999180819532012
43.0,69,0.9999060370262324
44.0,70,0.9999036947235532
45.0,71,0.9999127096314854
46.0,72,0.9999207048496016
47.0,72,0.9999241853921852
48.0,73,0.9999309469840963
49.0,74,0.999937009434199
50.0,75,0.999942467022478
51.0,76,0.9999473918333972
52.0,77,0.9999518544500704
53.0,78,0.9999559109121604
54.0,80,0.9999614065891668
55.0,81,0.9999646366962008
56.0,82,0.9999676024366634
57.0,83,0.9999715674521088
58.0,85,0.9999751860913884
59.0,86,0.999978337675272
60.0,88,0.9999812502770954
61.0,89,0.999983824405916
62.0,91,0.999986243058027
63.0,93,0.9999891577715092
64.0,95,0.9999918693095726
65.0,96,0.9999938252984488
66.0,99,0.9999975482787856
67.0,100,0.9999999999999992
68.0,100,0.9999999999999992
69.0,100,0.9999999999999992
70.0,100,0.9999999999999992
71.0,100,0.9999999999999992
72.0,100,0.9999999999999992
73.0,100,0.9999999999999992
74.0,100,0.9999999999999992
75.0,100,0.9999999999999992
76.0,100,0.9999999999999992
77.0,100,0.9999999999999992
78.0,100,0.9999999999999992
79.0,100,0.9999999999999992
80.0,100,0.9999999999999992
81.0,100,0.9999999999999992
82.0,100,0.9999999999999992
83.0,100,0.9999999999999992
84.0,100,0.9999999999999992
85.0,100,0.9999999999999992
86.0,100,0.9999999999999992
87.0,100,0.9999999999999992
88.0,100,0.9999999999999992
89.0,100,0.9999999999999992
90.0,100,0.9999999999999992
91.0,100,0.9999999999999992
92.0,100,0.9999999999999992
93.0,100,0.9999999999999992
94.0,100,0.9999999999999992
95.0,100,0.9999999999999992
96.0,100,0.9999999999999992
97.0,100,0.9999999999999992
98.0,100,0.9999999999999992
99.0,100,0.9999999999999992
