,space,approx
1.1,4.0,6.249459392536353
1.2000000000000002,4.0,2.900952098162279
1.3,4.0,2.5744485795279872
1.4,5.0,2.164180061254801
1.5,6.0,1.7034073162330912
1.6,6.0,1.6039939674098926
1.7000000000000002,6.0,1.4854996774182097
1.8,7.0,1.3522892483905162
1.9,8.0,1.2705474694117875
2.0,8.0,1.257951071447677
3.0,12.0,1.0579627851324938
4.0,16.0,1.0295782754470943
5.0,20.0,1.0143768105939572
6.0,23.0,1.0069798848479294
7.0,26.0,1.0045620146177945
8.0,30.0,1.0037943161708829
9.0,35.0,1.0013756348306615
10.0,38.0,1.0007487873697978
11.0,38.0,1.000447222027103
12.0,42.0,1.0001311526457286
13.0,46.0,1.0000271890200318
14.0,49.0,0.9998693394162586
15.0,49.0,0.99980096312747
16.0,53.0,0.9997088607503714
17.0,57.0,0.999848170344066
18.0,60.0,0.9998230594867766
19.0,60.0,0.9997889864632142
20.0,64.0,0.9997294777838484
21.0,67.0,0.9997123677555088
22.0,70.0,0.9996755493486116
23.0,70.0,0.9996610453597068
24.0,74.0,0.9996261495076036
25.0,77.0,0.9996224176731828
26.0,80.0,0.9996017511610747
27.0,80.0,0.9995966299059468
28.0,84.0,0.9995918813146945
29.0,87.0,0.9996072040044234
30.0,90.0,0.9996081828630674
31.0,90.0,0.9996204267400016
32.0,94.0,0.9996223448740748
33.0,97.0,0.9996409626062636
34.0,100.0,0.9996477496826252
35.0,100.0,0.9996645985630735
36.0,104.0,0.9996804115191328
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
