,space,approx
1.1,6,3.1280352163589047
1.2000000000000002,7,2.2048858539199188
1.3,8,1.7947226828220073
1.4000000000000001,9,1.5571157909909188
1.5,10,1.412956282101587
1.6,11,1.3321527858138609
1.7000000000000002,11,1.254061683170745
1.8,12,1.2160745398065804
1.9,13,1.1762023893743694
2.0,13,1.1517941630762119
3.0,19,1.0489708312110169
4.0,26,1.0250152890561157
5.0,34,1.014284276573181
6.0,37,1.0085005317543445
7.0,48,1.0063125725294475
8.0,50,1.0045569100178162
9.0,53,1.0039562236291366
10.0,58,1.0031735237665793
11.0,66,1.0025012182398763
12.0,84,1.0023874442030825
13.0,86,1.0019572304278015
14.0,88,1.001633561597701
15.0,90,1.0015434343333376
16.0,92,1.0013262806725203
17.0,96,1.0011530563011344
18.0,98,1.0011084266916586
19.0,103,1.0009631143133926
20.0,,
21.0,,
22.0,,
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
