,space,approx
1.1,2,1.5573028552491237
1.2000000000000002,2,1.5573028552491237
1.3,2,1.5573028552491237
1.4000000000000001,4,1.4429011928084343
1.5,4,1.226804012678367
1.6,4,1.1866447616480973
1.7000000000000002,4,1.1799611552476006
1.8,4,1.1484163913698147
1.9,4,1.1364639907081353
2.0,5,1.0828233398971054
3.0,7,1.0179216368874595
4.0,9,0.9977416530918928
5.0,11,1.000641219297268
6.0,12,0.9972332339946121
7.0,13,0.9960366943423513
8.0,15,0.9968810107258734
9.0,17,0.9966230404626983
10.0,19,0.9972068885883608
11.0,19,0.9972751857530914
12.0,20,0.9971095909974789
13.0,21,0.9972715252159337
14.0,23,0.9973287962307238
15.0,23,0.9975724728327701
16.0,24,0.9976671063981649
17.0,25,0.9978578694614323
18.0,27,0.9979131730125067
19.0,27,0.998083158826292
20.0,28,0.9981541498948932
21.0,29,0.9983006453208055
22.0,31,0.9983929007613851
23.0,31,0.9985721482002154
24.0,32,0.9985701516162193
25.0,33,0.9986330072807461
26.0,34,0.9987152257889743
27.0,34,0.9987625604196707
28.0,35,0.9988477814226984
29.0,36,0.9988953937832253
30.0,37,0.9989561745909202
31.0,37,0.9989930234930083
32.0,38,0.9990561289256046
33.0,39,0.999093395717711
34.0,40,0.9991417881265916
35.0,40,0.9991724522095603
36.0,41,0.999223540824086
37.0,42,0.9992543774236928
38.0,43,0.9992946478467063
39.0,43,0.9993216516392205
40.0,44,0.9993646748517889
41.0,45,0.9993917635234592
42.0,46,0.9994274711239372
43.0,46,0.9994536713851326
44.0,47,0.9994940429360619
45.0,48,0.9995206260292635
46.0,49,0.9995570766306499
47.0,49,0.9995935027242494
48.0,50,0.999643061753664
49.0,51,0.9996501099980836
50.0,51,0.9996630410603933
51.0,51,0.9996685192939696
52.0,52,0.9996817131806427
53.0,53,0.9996877079392499
54.0,53,0.9996987211996394
55.0,53,0.9997034823506539
56.0,54,0.9997146793366471
57.0,55,0.9997198929443025
58.0,55,0.9997295354830419
59.0,55,0.9997337393563881
60.0,56,0.99974361539183
61.0,57,0.9997482106380734
62.0,57,0.999756697107956
63.0,57,0.9997604510687648
64.0,58,0.9997691661885038
65.0,59,0.9997732799430158
66.0,59,0.999780899510868
67.0,59,0.9997843078413471
68.0,60,0.9997921188344738
69.0,61,0.9997958857734054
70.0,61,0.9997990899204581
71.0,61,0.9998059388618289
72.0,62,0.9998130133484328
73.0,63,0.9998165381618118
74.0,63,0.9998228319356711
75.0,63,0.9998258372787705
76.0,64,0.999832333676852
77.0,65,0.9998357033958631
78.0,65,0.99984154115484
79.0,65,0.99984444764353
80.0,66,0.9998473884636261
81.0,67,0.9998538176596042
82.0,67,0.9998593222796254
83.0,67,0.9998622076760643
84.0,68,0.9998679782771854
85.0,69,0.9998713525337096
86.0,69,0.9998766566411614
87.0,69,0.9998796297028343
88.0,70,0.9998852939257308
89.0,71,0.9998889544594517
90.0,71,0.9998942385670759
91.0,71,0.9998975017482247
92.0,72,0.9999033995100195
93.0,73,0.99990794172423
94.0,73,0.9999135634946273
95.0,73,0.9999177488528561
96.0,74,0.9999253105919624
97.0,75,0.9999360355441496
98.0,75,0.9999379306788674
99.0,75,0.9999379306788674
