,1.0,1.001,1.01,1.4
2,2,2,2,2
3,3,3,3,3
4,3,3,3,3
5,3,3,3,3
6,3,3,3,3
7,3,3,3,3
8,3,3,3,3
9,3,3,3,3
10,3,3,3,3
11,4,4,3,3
13,5,5,5,3
15,5,5,5,3
17,6,6,5,3
19,5,5,5,3
21,6,6,5,3
24,5,5,5,4
27,7,7,7,4
30,7,7,5,4
33,7,7,7,4
37,7,7,7,4
41,8,8,8,5
46,8,8,6,5
51,9,9,8,5
57,9,9,8,5
63,9,9,8,5
70,9,9,8,5
77,10,10,8,5
85,10,10,8,5
94,10,9,9,5
104,12,12,9,5
115,12,12,9,5
127,11,11,9,5
140,13,13,11,5
154,13,13,10,7
170,13,13,11,7
188,13,13,10,7
207,14,14,12,7
228,14,14,12,8
251,16,14,12,8
277,14,14,13,8
305,16,15,13,8
336,19,17,13,8
370,17,17,13,8
408,17,17,13,8
449,20,17,13,9
494,18,18,13,9
544,21,18,14,9
599,21,21,14,9
659,21,21,16,9
725,21,21,14,9
798,22,22,17,9
878,22,22,17,9
966,25,19,18,9
1063,26,23,18,9
1170,26,23,18,9
1287,30,23,18,10
1416,30,27,18,10
1558,31,24,18,10
1714,27,27,19,10
1886,28,24,19,10
2075,32,28,19,10
2283,32,29,19,10
2512,32,29,20,10
2764,33,29,20,11
3041,36,33,20,11
3346,37,30,21,11
3681,34,30,21,11
4050,34,31,21,11
4455,38,31,24,11
4901,39,35,21,11
5392,39,36,22,11
5932,40,36,22,11
6526,43,37,25,11
7179,48,37,22,12
7897,48,33,23,12
8687,49,38,25,12
9556,45,38,26,12
10000,49,38,26,12
