,space,approx
1.1,2,1.5842006605819356
1.2000000000000002,2,1.5842006605819356
1.3,2,1.5842006605819356
1.4,2,1.5842006605819356
1.5,2,1.5842006605819356
1.6,3,1.6217641815203934
1.7000000000000002,3,1.5478949113576657
1.8,3,1.4654096747387213
1.9,3,1.3876806641445518
2.0,3,1.332486260040311
3.0,5,1.1127661611199955
4.0,6,1.0544016910781528
5.0,8,1.0308876397123974
6.0,10,1.0193318847463753
7.0,11,1.0131417144124637
8.0,12,1.0101168770254656
9.0,16,1.0057874079451306
10.0,16,1.0057874079451306
11.0,18,1.004156125690025
12.0,20,1.0026961997021642
13.0,21,1.0026000119323386
14.0,23,1.001578810329807
15.0,25,1.0015602302277429
16.0,26,1.001483589678764
17.0,26,1.001483589678764
18.0,29,1.0006399838832285
19.0,31,1.000650197702026
20.0,32,1.0006656708290544
21.0,34,1.0006449273252054
22.0,34,1.0006449273252054
23.0,37,1.0002003402563893
24.0,39,1.0001911904937584
25.0,40,1.0001827621142665
26.0,42,1.0001791294665243
27.0,43,1.000174220090495
28.0,45,1.0001713266569092
29.0,47,1.0001710672402773
30.0,48,1.000167780605718
31.0,50,1.0001670390041948
32.0,51,1.0001454096136688
33.0,51,1.0001454096136688
34.0,52,1.000025456002018
35.0,54,0.9998718022636964
36.0,56,0.9997589500336472
37.0,58,0.9998129928315874
38.0,60,0.9998539590600958
39.0,62,0.9998790218113116
40.0,64,0.9999044272130908
41.0,65,0.9999191857571184
42.0,67,0.999932234800826
43.0,68,0.9999424421081224
44.0,70,0.9999514683387092
45.0,72,0.9999609812105174
46.0,73,0.9999666812609695
47.0,75,0.9999717490473092
48.0,76,0.99997584038229
49.0,78,0.9999795248042732
50.0,79,0.9999824776258206
51.0,81,0.9999852128275182
52.0,82,0.9999873678246118
53.0,84,0.9999894369600076
54.0,85,0.999991024536546
55.0,87,0.9999929555437176
56.0,89,0.9999943152235908
57.0,90,0.9999952828135104
58.0,92,0.9999963719486312
59.0,94,0.9999974901024592
60.0,95,0.9999980809163184
61.0,97,0.9999989311060457
62.0,99,0.999999667810971
63.0,100,0.9999999999999988
64.0,100,0.9999999999999988
65.0,100,0.9999999999999988
66.0,100,0.9999999999999988
67.0,100,0.9999999999999988
68.0,100,0.9999999999999988
69.0,100,0.9999999999999988
70.0,100,0.9999999999999988
71.0,100,0.9999999999999988
72.0,100,0.9999999999999988
73.0,100,0.9999999999999988
74.0,100,0.9999999999999988
75.0,100,0.9999999999999988
76.0,100,0.9999999999999988
77.0,100,0.9999999999999988
78.0,100,0.9999999999999988
79.0,100,0.9999999999999988
80.0,100,0.9999999999999988
81.0,100,0.9999999999999988
82.0,100,0.9999999999999988
83.0,100,0.9999999999999988
84.0,100,0.9999999999999988
85.0,100,0.9999999999999988
86.0,100,0.9999999999999988
87.0,100,0.9999999999999988
88.0,100,0.9999999999999988
89.0,100,0.9999999999999988
90.0,100,0.9999999999999988
91.0,100,0.9999999999999988
92.0,100,0.9999999999999988
93.0,100,0.9999999999999988
94.0,100,0.9999999999999988
95.0,100,0.9999999999999988
96.0,100,0.9999999999999988
97.0,100,0.9999999999999988
98.0,100,0.9999999999999988
99.0,100,0.9999999999999988
