,space,approx
1.1,6.0,3.699992265784209
1.2000000000000002,7.0,2.3762296153452347
1.3,8.0,1.87398467910217
1.4,9.0,1.618805636372257
1.5,10.0,1.4967662906765793
1.6,11.0,1.365716932960077
1.7000000000000002,11.0,1.253839061938424
1.8,12.0,1.2057588367788186
1.9,13.0,1.1735669018388424
2.0,13.0,1.1380869893932763
3.0,19.0,1.0469832088297986
4.0,26.0,1.0235649985611102
5.0,34.0,1.0135960322205844
6.0,37.0,1.0081777525301538
7.0,48.0,1.0061065334773331
8.0,50.0,1.0044359294961884
9.0,53.0,1.0038839434231712
10.0,58.0,1.003122219233744
11.0,66.0,1.0024881821840326
12.0,84.0,1.0023687935637398
13.0,86.0,1.0019538161460129
14.0,88.0,1.0016308033549468
15.0,90.0,1.0015423185103849
16.0,92.0,1.0013327099917717
17.0,96.0,1.0011585263599665
18.0,98.0,1.0011149586900356
19.0,103.0,1.0009714084372812
20.0,,
21.0,,
22.0,,
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
