,space,approx
1.1,2,1.1054371272760115
1.2000000000000002,2,1.1054371272760115
1.3,2,1.1054371272760115
1.4,2,1.1054371272760115
1.5,2,1.1054371272760115
1.6,2,1.1054371272760115
1.7000000000000002,2,1.1054371272760115
1.8,2,1.1054371272760115
1.9,2,1.1054371272760115
2.0,2,1.1054371272760115
3.0,4,1.0412677986003744
4.0,5,1.0078866434902145
5.0,6,1.0010945203230268
6.0,7,0.9957502276417832
7.0,8,0.9962635323385582
8.0,8,0.9959551507974448
9.0,10,0.9958001849646072
10.0,11,0.9963985865027528
11.0,12,0.9963477173815142
12.0,13,0.9966552085403204
13.0,14,0.997038925566548
14.0,14,0.997133079135462
15.0,16,0.9973795480153111
16.0,16,0.9975883478950914
17.0,17,0.9978859471297232
18.0,18,0.998023330518806
19.0,19,0.9984110998873996
20.0,20,0.9984113804712798
21.0,22,0.998612148804252
22.0,23,0.9986812805139044
23.0,23,0.9988655090000622
24.0,24,0.99891265129253
25.0,24,0.998965477280608
26.0,25,0.9991286221995892
27.0,26,0.9991487983260988
28.0,28,0.9992781026754856
29.0,29,0.999317667443113
30.0,30,0.9993805889474592
31.0,31,0.9994121170599912
32.0,32,0.999429800144428
33.0,33,0.999489810047524
34.0,33,0.999504068037462
35.0,34,0.9995248694555666
36.0,35,0.9995367311495136
37.0,36,0.9995883188951256
38.0,36,0.999597585199399
39.0,36,0.9996005292556456
40.0,38,0.9996262759037422
41.0,39,0.9996878045314532
42.0,41,0.9997216955835602
43.0,42,0.9997483634868746
44.0,43,0.9997680076901944
45.0,44,0.9997823735022492
46.0,45,0.9998019637173474
47.0,46,0.999811123606099
48.0,48,0.999829850401582
49.0,48,0.9998380852115468
50.0,49,0.9998452847955897
51.0,51,0.999860376520034
52.0,51,0.999866968873982
53.0,52,0.9998727187467248
54.0,53,0.999881053469633
55.0,54,0.9998889647367184
56.0,55,0.999895054190894
57.0,56,0.9999022434343112
58.0,57,0.9999064432401524
59.0,57,0.9999096468446812
60.0,58,0.9999134593224052
61.0,59,0.9999198466475944
62.0,60,0.9999240638933506
63.0,61,0.9999266068634294
64.0,62,0.9999331420690026
65.0,62,0.9999353735580616
66.0,63,0.9999380373910272
67.0,64,0.9999400762349324
68.0,65,0.9999460762426736
69.0,65,0.9999478521966212
70.0,66,0.9999499778921384
71.0,67,0.999955788577106
72.0,67,0.9999561881804824
73.0,68,0.9999580150970342
74.0,69,0.999959401169008
75.0,70,0.999964882514058
76.0,70,0.9999660545808164
77.0,71,0.9999674876968953
78.0,71,0.9999677393060998
79.0,72,0.999972798187752
80.0,73,0.9999739969645964
81.0,73,0.9999748802139008
82.0,74,0.9999750059263072
83.0,75,0.99998030390225
84.0,75,0.9999809956559712
85.0,76,0.9999818907897812
86.0,76,0.9999818907897812
87.0,76,0.9999825147006836
88.0,77,0.9999833459660964
89.0,77,0.9999839094475866
90.0,77,0.9999839094475866
91.0,78,0.9999846842399842
92.0,78,0.9999851937430726
93.0,78,0.9999851937430726
94.0,79,0.9999859185630215
95.0,79,0.9999863797076876
96.0,79,0.9999863797076876
97.0,80,0.999987060284886
98.0,80,0.999987477972112
99.0,80,0.999987477972112
