,space,approx
1.1,2.0,8.127516302948147
1.2000000000000002,4.0,4.5176800961669
1.3,4.0,7.691100557749284
1.4,4.0,21.306029194211128
1.5,4.0,14.05848748913088
1.6,5.0,6.443197741664166
1.7000000000000002,6.0,3.451209816232067
1.8,6.0,2.1814976909777983
1.9,6.0,2.065889795230085
2.0,7.0,1.6283907231739851
3.0,9.0,1.0511994118709191
4.0,13.0,1.0159033980988017
5.0,15.0,1.0051491514429065
6.0,18.0,1.0026428817571205
7.0,20.0,1.000340843036607
8.0,23.0,0.9998079107024044
9.0,26.0,0.9986476660134695
10.0,28.0,0.9984791855481956
11.0,28.0,0.9984834350514192
12.0,31.0,0.9984241463796046
13.0,34.0,0.9987787223997264
14.0,36.0,0.998737041333082
15.0,36.0,0.9987785723544138
16.0,39.0,0.9987445752945908
17.0,41.0,0.9988090258640218
18.0,43.0,0.998796450282815
19.0,43.0,0.9988380561476036
20.0,46.0,0.9988323018561064
21.0,48.0,0.99888430967048
22.0,50.0,0.9988840063314433
23.0,50.0,0.9989242735628326
24.0,53.0,0.9989514829417736
25.0,55.0,0.999024292075586
26.0,57.0,0.9990556811741732
27.0,57.0,0.9991143361480338
28.0,60.0,0.9991623006223584
29.0,62.0,0.9992714357266655
30.0,64.0,0.999262686374
31.0,64.0,0.9992738031899402
32.0,66.0,0.9992818336850828
33.0,68.0,0.999307488423108
34.0,70.0,0.999318031054471
35.0,70.0,0.999340571663886
36.0,72.0,0.9993502542929034
37.0,74.0,0.9993708232204096
38.0,76.0,0.9993798990805274
39.0,76.0,0.9993985389136706
40.0,78.0,0.9994066724586614
41.0,80.0,0.9994240686760028
42.0,82.0,0.9994322002396014
43.0,82.0,0.9994480575019196
44.0,84.0,0.999456149067955
45.0,86.0,0.9994706932580254
46.0,88.0,0.999478180627924
47.0,88.0,0.999492187897294
48.0,90.0,0.9995000676000748
49.0,92.0,0.9995131504252184
50.0,94.0,0.9995203533274726
51.0,94.0,0.9995331272440552
52.0,96.0,0.999541504080662
53.0,98.0,0.9995534421080056
54.0,100.0,0.9995607289980708
55.0,100.0,0.9995732228501532
56.0,102.0,0.9995829690601572
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
