,space,approx
1.1,2.0,6.152892338253985
1.2000000000000002,2.0,6.152892338253985
1.3,2.0,6.152892338253985
1.4,4.0,4.099585872161263
1.5,4.0,2.993721077725876
1.6,4.0,2.489757688866125
1.7000000000000002,4.0,2.326876758562597
1.8,4.0,2.1448979933878505
1.9,4.0,1.9487718254544728
2.0,5.0,1.778583749382811
3.0,7.0,1.1440295630459247
4.0,10.0,1.0517850972051397
5.0,12.0,1.0220832633860837
6.0,14.0,1.010043212201297
7.0,17.0,1.004917954388217
8.0,19.0,1.0022336606699176
9.0,22.0,0.9998279318718972
10.0,23.0,0.9997951406701108
11.0,26.0,0.99887209549576
12.0,28.0,0.9987910716684624
13.0,30.0,0.9987774397249348
14.0,33.0,0.9988838463872368
15.0,34.0,0.9988614825393914
16.0,36.0,0.9988688018748768
17.0,38.0,0.9988988802634656
18.0,40.0,0.9989301638023584
19.0,41.0,0.998955781656624
20.0,43.0,0.9989811189372064
21.0,46.0,0.9989568406700284
22.0,49.0,0.9989052558233732
23.0,51.0,0.998880061374104
24.0,53.0,0.9989239216924676
25.0,55.0,0.9989676582615518
26.0,58.0,0.998972366475904
27.0,59.0,0.9990377106349642
28.0,62.0,0.9991059339825704
29.0,64.0,0.99923113857346
30.0,66.0,0.999239146123056
31.0,67.0,0.9992483598400732
32.0,69.0,0.9992555030118098
33.0,71.0,0.9992666615605672
34.0,73.0,0.9992777737103296
35.0,74.0,0.9992869015441314
36.0,76.0,0.9992954270479736
37.0,77.0,0.9993231857718912
38.0,80.0,0.9993406277199386
39.0,81.0,0.999357705102786
40.0,83.0,0.9993755981461058
41.0,84.0,0.9993987210113364
42.0,86.0,0.9994141499796712
43.0,88.0,0.999430371172828
44.0,89.0,0.9994455008100976
45.0,90.0,0.9994650382944832
46.0,93.0,0.9994789676036474
47.0,94.0,0.9994934660745696
48.0,95.0,0.999511004897613
49.0,97.0,0.9995250183731024
50.0,99.0,0.9995369674964836
51.0,100.0,0.9995531834473064
52.0,102.0,0.9995673741569666
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
