,space,approx
1.1,4.0,5.15726162388407
1.2000000000000002,4.0,2.607339621716656
1.3,4.0,2.438191545548658
1.4,5.0,2.023700589310086
1.5,6.0,1.6210555773757394
1.6,6.0,1.5409229681304395
1.7000000000000002,6.0,1.4577049238644368
1.8,7.0,1.3259203922862888
1.9,8.0,1.241104647630305
2.0,8.0,1.2328367657962085
3.0,12.0,1.0553985355252131
4.0,16.0,1.0276547794968622
5.0,20.0,1.013620672599674
6.0,23.0,1.00695410105291
7.0,26.0,1.004597773792877
8.0,30.0,1.0036556851017997
9.0,35.0,1.001355337352522
10.0,38.0,1.0007234657934572
11.0,38.0,1.0005022509075332
12.0,42.0,1.0001882696035247
13.0,46.0,1.0000821961418431
14.0,49.0,0.9998747489954342
15.0,49.0,0.9998357653584884
16.0,53.0,0.99974176104829
17.0,57.0,0.9998863429080502
18.0,60.0,0.9998280763277902
19.0,60.0,0.9998072896751902
20.0,64.0,0.9997455941400748
21.0,67.0,0.9997304240774992
22.0,70.0,0.9996831868035828
23.0,70.0,0.999675836354782
24.0,74.0,0.9996392993521294
25.0,77.0,0.9996363763431938
26.0,80.0,0.9996091933000836
27.0,80.0,0.9996082777250658
28.0,84.0,0.9996022693601808
29.0,87.0,0.9996179008637768
30.0,90.0,0.999614497069557
31.0,90.0,0.999629383028794
32.0,94.0,0.9996303088812027
33.0,97.0,0.9996489834637834
34.0,100.0,0.9996526607396456
35.0,100.0,0.9996712479587244
36.0,104.0,0.9996862628304932
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
