,space,approx
1.1,6,7.559134979482813
1.2000000000000002,7,4.750524275815254
1.3,8,3.462062386221195
1.4000000000000001,9,2.7350012078745705
1.5,9,2.289731475281454
1.6,10,2.0015118158515364
1.7000000000000002,11,1.7916797703109641
1.8,11,1.6498449685683363
1.9,12,1.5343158203044018
2.0,12,1.4567469653396279
3.0,18,1.1374890128814459
4.0,25,1.0662302478330645
5.0,31,1.0374392989181183
6.0,37,1.0238200118307164
7.0,44,1.0166534157874039
8.0,49,1.0134890782457449
9.0,60,1.0081285089525434
10.0,62,1.0080658816652062
11.0,70,1.0061046130356825
12.0,81,1.004058694978355
13.0,83,1.0040194853863125
14.0,99,1.002839193283738
15.0,101,1.0028073335533643
16.0,,
17.0,,
18.0,,
19.0,,
20.0,,
21.0,,
22.0,,
23.0,,
24.0,,
25.0,,
26.0,,
27.0,,
28.0,,
29.0,,
30.0,,
31.0,,
32.0,,
33.0,,
34.0,,
35.0,,
36.0,,
37.0,,
38.0,,
39.0,,
40.0,,
41.0,,
42.0,,
43.0,,
44.0,,
45.0,,
46.0,,
47.0,,
48.0,,
49.0,,
50.0,,
51.0,,
52.0,,
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
