,space,approx
1.1,2,2.119871845258829
1.2000000000000002,3,1.9977208312231964
1.3,4,1.5979568976818213
1.4000000000000001,4,1.4091597303469028
1.5,4,1.3253096924386423
1.6,4,1.2759896731368143
1.7000000000000002,5,1.224821919408623
1.8,5,1.189565569631717
1.9,6,1.1499401045885056
2.0,6,1.1321226634511403
3.0,8,1.0396307559140923
4.0,11,1.019891848517102
5.0,14,1.0117474248638485
6.0,16,1.0070462893069996
7.0,18,1.0047524161750496
8.0,21,1.003287276939528
9.0,22,1.003043381970212
10.0,24,1.0023941598396136
11.0,25,1.0018042283218684
12.0,26,1.0017166309521268
13.0,28,1.001325912506266
14.0,30,1.001016195954409
15.0,33,1.0009327067264266
16.0,34,1.000722894385457
17.0,38,1.0005317263695
18.0,38,1.0004915561207612
19.0,39,1.0003561372649707
20.0,40,1.0002943904385395
21.0,41,1.0002519496787408
22.0,42,1.0002703726970446
23.0,44,1.000227381081992
24.0,45,1.0001972883793568
25.0,47,1.0001685560440143
26.0,48,1.0001436576890939
27.0,50,1.0001197648087035
28.0,51,1.0001012892879668
29.0,53,1.0000832841453162
30.0,55,1.0000684598293568
31.0,57,1.0000537357616637
32.0,59,1.0000416465109567
33.0,62,1.000030780675289
34.0,63,1.0000177821183664
35.0,64,1.0000039096611244
36.0,64,0.9999915674926337
37.0,65,0.9999694687375669
38.0,66,0.9999595760303539
39.0,66,0.9999506433974512
40.0,67,0.9999344599259795
41.0,68,0.999927132034577
42.0,68,0.9999204361078197
43.0,69,0.9999081976472844
44.0,70,0.9999055404049629
45.0,71,0.9999144187752365
46.0,72,0.9999222871441334
47.0,72,0.9999258662480994
48.0,73,0.999932494599041
49.0,74,0.9999384345542253
50.0,75,0.9999437792027785
51.0,76,0.9999485996147086
52.0,77,0.999952965502321
53.0,78,0.9999569321525444
54.0,80,0.9999622389394965
55.0,81,0.9999654002960703
56.0,82,0.99996830147144
57.0,83,0.9999722230852552
58.0,85,0.9999757135865784
59.0,86,0.9999788252641214
60.0,88,0.9999816342893586
61.0,89,0.9999841723403832
62.0,91,0.9999865063000751
63.0,93,0.9999893510334131
64.0,95,0.9999919998285143
65.0,96,0.9999939282199992
66.0,99,0.9999975717216796
67.0,100,0.9999999999999993
68.0,100,0.9999999999999993
69.0,100,0.9999999999999993
70.0,100,0.9999999999999993
71.0,100,0.9999999999999993
72.0,100,0.9999999999999993
73.0,100,0.9999999999999993
74.0,100,0.9999999999999993
75.0,100,0.9999999999999993
76.0,100,0.9999999999999993
77.0,100,0.9999999999999993
78.0,100,0.9999999999999993
79.0,100,0.9999999999999993
80.0,100,0.9999999999999993
81.0,100,0.9999999999999993
82.0,100,0.9999999999999993
83.0,100,0.9999999999999993
84.0,100,0.9999999999999993
85.0,100,0.9999999999999993
86.0,100,0.9999999999999993
87.0,100,0.9999999999999993
88.0,100,0.9999999999999993
89.0,100,0.9999999999999993
90.0,100,0.9999999999999993
91.0,100,0.9999999999999993
92.0,100,0.9999999999999993
93.0,100,0.9999999999999993
94.0,100,0.9999999999999993
95.0,100,0.9999999999999993
96.0,100,0.9999999999999993
97.0,100,0.9999999999999993
98.0,100,0.9999999999999993
99.0,100,0.9999999999999993
