,space,approx
1.1,2,6.152892338253985
1.2000000000000002,2,6.152892338253985
1.3,2,6.152892338253985
1.4000000000000001,4,4.099585872161263
1.5,4,2.9937210777258754
1.6,4,2.4897576888661255
1.7000000000000002,4,2.326876758562597
1.8,4,2.1448979933878505
1.9,4,1.9487718254544732
2.0,5,1.778583749382811
3.0,7,1.1440295630459247
4.0,10,1.0517850972051397
5.0,12,1.0220832633860835
6.0,14,1.010043212201297
7.0,17,1.004917954388217
8.0,19,1.0022336606699176
9.0,22,0.9998279318718972
10.0,23,0.9997951406701109
11.0,26,0.99887209549576
12.0,28,0.9987910716684623
13.0,30,0.9987774397249349
14.0,33,0.9988838463872369
15.0,34,0.9988614825393914
16.0,36,0.9988688018748767
17.0,38,0.9988988802634656
18.0,40,0.9989301638023584
19.0,41,0.9989557816566241
20.0,43,0.9989811189372064
21.0,46,0.9989568406700283
22.0,49,0.9989052558233731
23.0,51,0.9988800613741039
24.0,53,0.9989239216924675
25.0,55,0.9989676582615518
26.0,58,0.9989723664759041
27.0,59,0.9990377106349642
28.0,62,0.9991059339825703
29.0,64,0.9992311385734601
30.0,66,0.9992391461230559
31.0,67,0.9992483598400731
32.0,69,0.9992555030118098
33.0,71,0.9992666615605673
34.0,73,0.9992777737103297
35.0,74,0.9992869015441314
36.0,76,0.9992954270479736
37.0,77,0.9993231857718912
38.0,80,0.9993406277199386
39.0,81,0.999357705102786
40.0,83,0.9993755981461058
41.0,84,0.9993987210113365
42.0,86,0.9994141499796712
43.0,88,0.9994303711728281
44.0,89,0.9994455008100975
45.0,90,0.9994650382944831
46.0,93,0.9994789676036474
47.0,94,0.9994934660745695
48.0,95,0.999511004897613
49.0,97,0.9995250183731023
50.0,99,0.9995369674964836
51.0,100,0.9995531834473064
52.0,102,0.9995673741569666
53.0,,
54.0,,
55.0,,
56.0,,
57.0,,
58.0,,
59.0,,
60.0,,
61.0,,
62.0,,
63.0,,
64.0,,
65.0,,
66.0,,
67.0,,
68.0,,
69.0,,
70.0,,
71.0,,
72.0,,
73.0,,
74.0,,
75.0,,
76.0,,
77.0,,
78.0,,
79.0,,
80.0,,
81.0,,
82.0,,
83.0,,
84.0,,
85.0,,
86.0,,
87.0,,
88.0,,
89.0,,
90.0,,
91.0,,
92.0,,
93.0,,
94.0,,
95.0,,
96.0,,
97.0,,
98.0,,
99.0,,
