,1.0,1.001,1.01,1.4
2,2,2,2,2
3,3,3,3,3
4,3,3,3,3
5,3,3,3,3
6,3,3,3,3
7,3,3,3,3
8,3,3,3,3
9,3,3,3,3
10,3,3,3,3
11,3,3,3,3
13,3,3,3,3
15,3,3,3,3
17,3,3,3,3
19,3,3,3,3
21,3,3,3,3
24,5,5,5,4
27,5,5,5,4
30,5,5,5,4
33,5,5,5,4
37,5,5,5,4
41,6,6,6,5
46,6,6,6,5
51,8,8,6,5
57,8,8,6,5
63,8,8,8,5
70,8,8,8,5
77,8,8,8,5
85,8,8,8,5
94,9,9,9,5
104,9,9,9,5
115,9,9,9,5
127,9,9,9,5
140,9,9,9,5
154,11,11,10,5
170,11,11,10,5
188,12,12,10,5
207,14,12,10,5
228,14,12,10,5
251,14,14,10,8
277,14,14,10,8
305,15,15,11,8
336,17,15,11,8
370,15,15,11,8
408,15,15,11,8
449,16,16,11,9
494,16,16,11,9
544,16,16,14,9
599,18,16,14,9
659,21,16,14,9
725,21,19,14,9
798,22,19,15,9
878,19,19,15,9
966,23,19,15,9
1063,26,20,15,9
1170,23,20,15,9
1287,23,20,16,10
1416,24,20,16,10
1558,24,24,16,10
1714,24,24,16,10
1886,24,24,16,10
2075,28,25,17,10
2283,29,25,17,10
2512,29,25,17,10
2764,33,29,20,11
3041,30,30,18,11
3346,30,30,18,11
3681,30,30,21,11
4050,31,31,18,11
4455,35,31,18,11
4901,35,32,21,11
5392,36,32,19,11
5932,36,33,19,11
6526,40,33,22,11
7179,37,33,22,12
7897,37,33,23,12
8687,41,34,23,12
9556,42,34,23,12
10000,42,35,23,12
